,Order,Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB,Batting Team,Bowling Team,Match ID,Match No,Season,Season Match No
371,7,DJ Harris,1.0,0,10,0,10.0,,,,0,0,Melbourne Stars,Melbourne Renegades,571232,32,BBL02,1
372,1,JM Bird,4.0,0,29,1,7.25,,,,0,0,Melbourne Renegades,Melbourne Stars,571232,32,BBL02,1
373,2,SL Malinga,4.0,0,20,0,5.0,,,,1,0,Melbourne Renegades,Melbourne Stars,571232,32,BBL02,1
374,3,CJ McKay,3.0,0,19,0,6.33,,,,0,0,Melbourne Renegades,Melbourne Stars,571232,32,BBL02,1
375,4,JP Faulkner,3.2,0,31,1,9.3,,,,0,0,Melbourne Renegades,Melbourne Stars,571232,32,BBL02,1
376,5,DJ Hussey,1.0,0,12,0,12.0,,,,0,0,Melbourne Renegades,Melbourne Stars,571232,32,BBL02,1
377,6,SK Warne,2.0,0,41,0,20.5,,,,2,0,Melbourne Renegades,Melbourne Stars,571232,32,BBL02,1
378,7,LJ Wright,1.0,0,13,0,13.0,,,,0,0,Melbourne Renegades,Melbourne Stars,571232,32,BBL02,1
379,1,B Lee,4.0,0,35,0,8.75,,,,0,1,Sydney Thunder,Sydney Sixers,571233,33,BBL02,2
380,2,MA Starc,4.0,0,27,2,6.75,,,,2,0,Sydney Thunder,Sydney Sixers,571233,33,BBL02,2
381,3,LW Feldman,4.0,0,19,2,4.75,,,,0,0,Sydney Thunder,Sydney Sixers,571233,33,BBL02,2
382,4,SNJ O'Keefe,2.0,0,18,0,9.0,,,,1,0,Sydney Thunder,Sydney Sixers,571233,33,BBL02,2
383,5,BMAJ Mendis,4.0,0,30,0,7.5,,,,0,0,Sydney Thunder,Sydney Sixers,571233,33,BBL02,2
384,6,MC Henriques,2.0,0,12,1,6.0,,,,1,0,Sydney Thunder,Sydney Sixers,571233,33,BBL02,2
385,1,RJG Lockyear,1.0,0,6,0,6.0,,,,0,0,Sydney Sixers,Sydney Thunder,571233,33,BBL02,2
386,2,CP Tremain,4.0,0,27,2,6.75,,,,0,0,Sydney Sixers,Sydney Thunder,571233,33,BBL02,2
387,3,DP Nannes,4.0,0,16,0,4.0,,,,1,0,Sydney Sixers,Sydney Thunder,571233,33,BBL02,2
388,4,SA Abbott,3.4,0,40,1,10.9,,,,0,0,Sydney Sixers,Sydney Thunder,571233,33,BBL02,2
389,5,LA Doran,3.0,0,35,0,11.66,,,,0,0,Sydney Sixers,Sydney Thunder,571233,33,BBL02,2
390,6,GS Sandhu,3.0,0,21,0,7.0,,,,0,1,Sydney Sixers,Sydney Thunder,571233,33,BBL02,2
391,1,DE Bollinger,4.0,0,47,0,11.75,,,,1,0,Brisbane Heat,Hobart Hurricanes,571234,34,BBL02,3
392,2,MG Hogan,4.0,0,22,2,5.5,,,,0,0,Brisbane Heat,Hobart Hurricanes,571234,34,BBL02,3
393,3,EP Gulbis,4.0,0,29,3,7.25,,,,0,0,Brisbane Heat,Hobart Hurricanes,571234,34,BBL02,3
394,4,B Laughlin,4.0,0,49,1,12.25,,,,0,0,Brisbane Heat,Hobart Hurricanes,571234,34,BBL02,3
395,5,XJ Doherty,2.0,0,15,0,7.5,,,,0,0,Brisbane Heat,Hobart Hurricanes,571234,34,BBL02,3
396,6,SB Styris,2.0,0,10,0,5.0,,,,0,1,Brisbane Heat,Hobart Hurricanes,571234,34,BBL02,3
397,1,SR Watson,3.0,0,17,0,5.66,,,,1,0,Hobart Hurricanes,Brisbane Heat,571234,34,BBL02,3
398,2,CJ Gannon,4.0,0,38,0,9.5,,,,1,1,Hobart Hurricanes,Brisbane Heat,571234,34,BBL02,3
399,3,DT Christian,2.0,0,23,0,11.5,,,,0,0,Hobart Hurricanes,Brisbane Heat,571234,34,BBL02,3
400,4,JR Hopes,2.0,0,30,1,15.0,,,,1,0,Hobart Hurricanes,Brisbane Heat,571234,34,BBL02,3
401,5,NM Hauritz,3.0,0,17,0,5.66,,,,0,0,Hobart Hurricanes,Brisbane Heat,571234,34,BBL02,3
402,6,BCJ Cutting,3.0,0,19,1,6.33,,,,0,0,Hobart Hurricanes,Brisbane Heat,571234,34,BBL02,3
403,7,NLTC Perera,2.0,0,20,0,10.0,,,,1,0,Hobart Hurricanes,Brisbane Heat,571234,34,BBL02,3
404,1,KW Richardson,3.0,0,33,0,11.0,,,,2,0,Perth Scorchers,Adelaide Strikers,571235,35,BBL02,4
405,2,NM Lyon,4.0,0,33,1,8.25,,,,2,0,Perth Scorchers,Adelaide Strikers,571235,35,BBL02,4
406,3,Saeed Ajmal,4.0,0,22,1,5.5,,,,0,0,Perth Scorchers,Adelaide Strikers,571235,35,BBL02,4
407,4,J Botha,4.0,0,23,1,5.75,,,,0,0,Perth Scorchers,Adelaide Strikers,571235,35,BBL02,4
408,5,GD Putland,4.0,0,39,2,9.75,,,,0,0,Perth Scorchers,Adelaide Strikers,571235,35,BBL02,4
409,6,TP Doropoulos,1.0,0,12,0,12.0,,,,1,0,Perth Scorchers,Adelaide Strikers,571235,35,BBL02,4
410,1,MA Beer,4.0,0,29,0,7.25,,,,0,0,Adelaide Strikers,Perth Scorchers,571235,35,BBL02,4
411,2,BM Edmondson,3.2,0,35,1,10.5,,,,0,0,Adelaide Strikers,Perth Scorchers,571235,35,BBL02,4
412,3,NM Coulter-Nile,4.0,0,35,1,8.75,,,,0,0,Adelaide Strikers,Perth Scorchers,571235,35,BBL02,4
413,4,JM Mennie,4.0,0,29,1,7.25,,,,0,1,Adelaide Strikers,Perth Scorchers,571235,35,BBL02,4
414,5,GB Hogg,4.0,0,33,1,8.25,,,,0,0,Adelaide Strikers,Perth Scorchers,571235,35,BBL02,4
415,1,JP Faulkner,4.0,1,16,2,4.0,,,,2,0,Perth Scorchers,Melbourne Stars,571236,36,BBL02,5
416,2,SL Malinga,4.0,1,7,6,1.75,,,,2,0,Perth Scorchers,Melbourne Stars,571236,36,BBL02,5
417,3,CJ McKay,3.0,0,28,0,9.33,,,,3,0,Perth Scorchers,Melbourne Stars,571236,36,BBL02,5
418,4,SK Warne,3.0,0,9,1,3.0,,,,1,0,Perth Scorchers,Melbourne Stars,571236,36,BBL02,5
419,5,LJ Wright,1.2,0,7,1,5.25,,,,0,0,Perth Scorchers,Melbourne Stars,571236,36,BBL02,5
420,1,NM Coulter-Nile,1.0,0,11,0,11.0,,,,1,0,Melbourne Stars,Perth Scorchers,571236,36,BBL02,5
421,2,JM Mennie,1.0,0,18,0,18.0,,,,0,0,Melbourne Stars,Perth Scorchers,571236,36,BBL02,5
