,Order,Batsman,Dismissal,R,B,M,4s,6s,SR,Batting Team,Bowling Team,Match ID,Season,Season Match No,Match No
2057,7,JW Hastings,c †Whiteman b Agar,20,6,11,0,3,333.33,Melbourne Stars,Perth Scorchers,756795,BBL04,31,132
2058,8,CJ McKay,c Turner b Yasir Arafat,12,7,9,2,0,171.42,Melbourne Stars,Perth Scorchers,756795,BBL04,31,132
2059,9,SM Boland,not out,0,0,3,0,0,-,Melbourne Stars,Perth Scorchers,756795,BBL04,31,132
2060,1,JA Burns,c †Dunk b Hilfenhaus,1,4,5,0,0,25,Brisbane Heat,Hobart Hurricanes,756797,BBL04,32,129
2061,2,PJ Forrest,c sub (DP Michael) b Boyce,46,48,62,2,0,95.83,Brisbane Heat,Hobart Hurricanes,756797,BBL04,32,129
2062,3,CA Lynn,c sub (DP Michael) b Gulbis,81,35,43,12,3,231.42,Brisbane Heat,Hobart Hurricanes,756797,BBL04,32,129
2063,4,DT Christian,c Boyce b Shoaib Malik,20,12,24,3,0,166.66,Brisbane Heat,Hobart Hurricanes,756797,BBL04,32,129
2064,5,NJ Reardon,c Wells b Shoaib Malik,20,11,23,2,1,181.81,Brisbane Heat,Hobart Hurricanes,756797,BBL04,32,129
2065,6,BCJ Cutting,c Hilfenhaus b Shoaib Malik,24,8,9,2,2,300,Brisbane Heat,Hobart Hurricanes,756797,BBL04,32,129
2066,7,A Flintoff,not out,3,2,3,0,0,150,Brisbane Heat,Hobart Hurricanes,756797,BBL04,32,129
2067,8,JJ Peirson †,not out,0,0,1,0,0,-,Brisbane Heat,Hobart Hurricanes,756797,BBL04,32,129
2068,1,BR Dunk †,c †Peirson b Steketee,2,6,10,0,0,33.33,Hobart Hurricanes,Brisbane Heat,756797,BBL04,32,129
2069,2,TD Paine (c),c Christian b Steketee,5,6,23,0,0,83.33,Hobart Hurricanes,Brisbane Heat,756797,BBL04,32,129
2070,3,MW Hill,c Parry b Christian,26,19,24,4,0,136.84,Hobart Hurricanes,Brisbane Heat,756797,BBL04,32,129
2071,4,EP Gulbis,c Hopes b Christian,3,4,4,0,0,75,Hobart Hurricanes,Brisbane Heat,756797,BBL04,32,129
2072,5,TR Birt,st †Peirson b Parry,16,8,13,2,1,200,Hobart Hurricanes,Brisbane Heat,756797,BBL04,32,129
2073,6,Shoaib Malik,c Parry b Hopes,42,23,46,2,2,182.6,Hobart Hurricanes,Brisbane Heat,756797,BBL04,32,129
2074,7,JW Wells,c Flintoff b Cutting,6,9,12,1,0,66.66,Hobart Hurricanes,Brisbane Heat,756797,BBL04,32,129
2075,8,TT Bresnan,run out (†Peirson),2,5,7,0,0,40,Hobart Hurricanes,Brisbane Heat,756797,BBL04,32,129
2076,9,BW Hilfenhaus,not out,38,31,36,1,2,122.58,Hobart Hurricanes,Brisbane Heat,756797,BBL04,32,129
2077,10,CJ Boyce,not out,24,9,17,3,1,266.66,Hobart Hurricanes,Brisbane Heat,756797,BBL04,32,129
2078,1,MH Wessels, b Tait,24,24,,3,0,100,Sydney Sixers,Adelaide Strikers,756799,BBL04,33,134
2079,2,MJ Lumb,run out (Head/†Ludeman),32,19,,6,1,168.42,Sydney Sixers,Adelaide Strikers,756799,BBL04,33,134
2080,3,NJ Maddinson, b Richardson,85,48,,7,5,177.08,Sydney Sixers,Adelaide Strikers,756799,BBL04,33,134
2081,4,MC Henriques (c),not out,27,19,,1,1,142.1,Sydney Sixers,Adelaide Strikers,756799,BBL04,33,134
2082,5,JC Silk,lbw b Laughlin,3,5,,0,0,60,Sydney Sixers,Adelaide Strikers,756799,BBL04,33,134
2083,6,RGL Carters †,not out,8,5,,1,0,160,Sydney Sixers,Adelaide Strikers,756799,BBL04,33,134
2084,1,CJ Simmons,c †Carters b Abbott,5,6,,1,0,83.33,Adelaide Strikers,Sydney Sixers,756799,BBL04,33,134
2085,2,TP Ludeman †,c Lumb b O'Keefe,15,11,,1,1,136.36,Adelaide Strikers,Sydney Sixers,756799,BBL04,33,134
2086,3,TM Head,c Abbott b Bollinger,8,8,,1,0,100,Adelaide Strikers,Sydney Sixers,756799,BBL04,33,134
2087,4,BJ Hodge,c Henriques b Abbott,20,14,,3,0,142.85,Adelaide Strikers,Sydney Sixers,756799,BBL04,33,134
2088,5,RN ten Doeschate,c Silk b Lyon,5,9,,0,0,55.55,Adelaide Strikers,Sydney Sixers,756799,BBL04,33,134
2089,6,J Botha (c),c †Carters b Bollinger,10,18,,0,0,55.55,Adelaide Strikers,Sydney Sixers,756799,BBL04,33,134
2090,7,AI Ross,c Wessels b Bollinger,3,5,,0,0,60,Adelaide Strikers,Sydney Sixers,756799,BBL04,33,134
2091,8,KW Richardson,c Henriques b Lee,3,3,,0,0,100,Adelaide Strikers,Sydney Sixers,756799,BBL04,33,134
2092,9,A Zampa,c & b Lyon,3,3,,0,0,100,Adelaide Strikers,Sydney Sixers,756799,BBL04,33,134
2093,10,B Laughlin,c Silk b O'Keefe,22,10,,1,2,220,Adelaide Strikers,Sydney Sixers,756799,BBL04,33,134
2094,11,SW Tait,not out,0,0,,0,0,-,Adelaide Strikers,Sydney Sixers,756799,BBL04,33,134
2095,1,SE Marsh,c Bird b Beer,35,34,,2,0,102.94,Perth Scorchers,Melbourne Stars,756801,BBL04,34,135
2096,2,M Klinger,c McKay b Hastings,5,7,,1,0,71.42,Perth Scorchers,Melbourne Stars,756801,BBL04,34,135
2097,3,AC Voges (c),c White b Hastings,3,6,,0,0,50,Perth Scorchers,Melbourne Stars,756801,BBL04,34,135
2098,4,MA Carberry,c Hastings b Beer,50,36,,6,1,138.88,Perth Scorchers,Melbourne Stars,756801,BBL04,34,135
2099,5,AJ Turner,c †Triffitt b Boland,1,3,,0,0,33.33,Perth Scorchers,Melbourne Stars,756801,BBL04,34,135
2100,6,SM Whiteman †,c Handscomb b McKay,18,13,,1,1,138.46,Perth Scorchers,Melbourne Stars,756801,BBL04,34,135
2101,7,NM Coulter-Nile,c †Triffitt b Hastings,22,9,,2,2,244.44,Perth Scorchers,Melbourne Stars,756801,BBL04,34,135
2102,8,Yasir Arafat,not out,3,4,,0,0,75,Perth Scorchers,Melbourne Stars,756801,BBL04,34,135
2103,9,AJ Tye,not out,2,8,,0,0,25,Perth Scorchers,Melbourne Stars,756801,BBL04,34,135
2104,1,CL White (c),c †Whiteman b Yasir Arafat,13,24,,1,0,54.16,Melbourne Stars,Perth Scorchers,756801,BBL04,34,135
2105,2,LJ Wright,c Voges b Tye,31,25,,3,0,124,Melbourne Stars,Perth Scorchers,756801,BBL04,34,135
2106,3,KP Pietersen,c †Whiteman b Coulter-Nile,31,27,,0,1,114.81,Melbourne Stars,Perth Scorchers,756801,BBL04,34,135
2107,4,PSP Handscomb,c Voges b Tye,0,2,,0,0,0,Melbourne Stars,Perth Scorchers,756801,BBL04,34,135
2108,5,RJ Quiney,c Hogg b Coulter-Nile,7,11,,1,0,63.63,Melbourne Stars,Perth Scorchers,756801,BBL04,34,135
2109,6,TIF Triffitt †,c Coulter-Nile b Behrendorff,1,2,,0,0,50,Melbourne Stars,Perth Scorchers,756801,BBL04,34,135
2110,7,JW Hastings, b Tye,22,15,,2,1,146.66,Melbourne Stars,Perth Scorchers,756801,BBL04,34,135
2111,8,CJ McKay, b Tye,4,5,,0,0,80,Melbourne Stars,Perth Scorchers,756801,BBL04,34,135
2112,9,SM Boland,run out (Tye/†Whiteman),5,4,,0,0,125,Melbourne Stars,Perth Scorchers,756801,BBL04,34,135
2113,10,JM Bird,c Tye b Yasir Arafat,3,3,,0,0,100,Melbourne Stars,Perth Scorchers,756801,BBL04,34,135
2114,11,MA Beer,not out,1,1,,0,0,100,Melbourne Stars,Perth Scorchers,756801,BBL04,34,135
2115,1,MJ Lumb, b Coulter-Nile,3,8,,0,0,37.5,Sydney Sixers,Perth Scorchers,756803,BBL04,35,136
2116,2,MH Wessels, b Behrendorff,2,4,,0,0,50,Sydney Sixers,Perth Scorchers,756803,BBL04,35,136
2117,3,NJ Maddinson, b Yasir Arafat,19,22,,2,0,86.36,Sydney Sixers,Perth Scorchers,756803,BBL04,35,136
2118,4,MC Henriques (c),run out (Turner/†Whiteman),77,57,,5,2,135.08,Sydney Sixers,Perth Scorchers,756803,BBL04,35,136
2119,5,JC Silk, b Hogg,3,4,,0,0,75,Sydney Sixers,Perth Scorchers,756803,BBL04,35,136
2120,6,RGL Carters †,not out,35,25,,4,0,140,Sydney Sixers,Perth Scorchers,756803,BBL04,35,136
2121,1,SE Marsh,c Abbott b Lyon,73,59,,3,3,123.72,Perth Scorchers,Sydney Sixers,756803,BBL04,35,136
2122,2,M Klinger,c Abbott b Lee,33,37,,4,0,89.18,Perth Scorchers,Sydney Sixers,756803,BBL04,35,136
2123,3,AC Voges (c),c †Carters b Bollinger,20,13,,1,0,153.84,Perth Scorchers,Sydney Sixers,756803,BBL04,35,136
2124,4,MA Carberry,not out,9,7,,1,0,128.57,Perth Scorchers,Sydney Sixers,756803,BBL04,35,136
2125,5,AJ Turner,c Abbott b Lyon,0,1,,0,0,0,Perth Scorchers,Sydney Sixers,756803,BBL04,35,136
2126,6,NM Coulter-Nile, b Lee,7,3,,0,1,233.33,Perth Scorchers,Sydney Sixers,756803,BBL04,35,136
2127,7,SM Whiteman †, b Lee,0,1,,0,0,0,Perth Scorchers,Sydney Sixers,756803,BBL04,35,136
2128,8,Yasir Arafat,not out,1,1,,0,0,100,Perth Scorchers,Sydney Sixers,756803,BBL04,35,136
2129,1,JH Kallis,c Lyon b Abbott,15,17,,1,0,88.23,Sydney Thunder,Sydney Sixers,897695,BBL05,1,137
2130,2,AC Blizzard,lbw b Bollinger,12,7,,3,0,171.42,Sydney Thunder,Sydney Sixers,897695,BBL05,1,137
2131,3,MEK Hussey (c),not out,80,59,,5,4,135.59,Sydney Thunder,Sydney Sixers,897695,BBL05,1,137
2132,4,SR Watson, b Lyon,16,12,,1,1,133.33,Sydney Thunder,Sydney Sixers,897695,BBL05,1,137
2133,5,BJ Rohrer,c Lyon b Lawford,30,20,,2,1,150,Sydney Thunder,Sydney Sixers,897695,BBL05,1,137
2134,6,AD Russell,not out,4,5,,0,0,80,Sydney Thunder,Sydney Sixers,897695,BBL05,1,137
2135,1,BJ Haddin †, b Russell,13,11,,1,1,118.18,Sydney Sixers,Sydney Thunder,897695,BBL05,1,137
2136,2,MJ Lumb,lbw b Kallis,34,27,,4,0,125.92,Sydney Sixers,Sydney Thunder,897695,BBL05,1,137
2137,3,NJ Maddinson (c), b Russell,7,12,,1,0,58.33,Sydney Sixers,Sydney Thunder,897695,BBL05,1,137
2138,4,JC Silk,c Green b Watson,8,8,,1,0,100,Sydney Sixers,Sydney Thunder,897695,BBL05,1,137
2139,5,RGL Carters,c & b Green,8,9,,1,0,88.88,Sydney Sixers,Sydney Thunder,897695,BBL05,1,137
2140,6,J Botha,c Hussey b McKay,13,17,,1,0,76.47,Sydney Sixers,Sydney Thunder,897695,BBL05,1,137
2141,7,SA Abbott,c & b Watson,0,3,,0,0,0,Sydney Sixers,Sydney Thunder,897695,BBL05,1,137
2142,8,TL Lawford, b Watson,4,3,,1,0,133.33,Sydney Sixers,Sydney Thunder,897695,BBL05,1,137
2143,9,NM Lyon,c Rohrer b Russell,4,4,,1,0,100,Sydney Sixers,Sydney Thunder,897695,BBL05,1,137
2144,10,JM Bird,not out,14,15,,0,1,93.33,Sydney Sixers,Sydney Thunder,897695,BBL05,1,137
2145,11,DE Bollinger,c Kallis b McKay,9,10,,0,1,90,Sydney Sixers,Sydney Thunder,897695,BBL05,1,137
2146,1,CJ Simmons,c Hastings b Boland,13,7,,0,2,185.71,Adelaide Strikers,Melbourne Stars,897697,BBL05,2,138
2147,2,TP Ludeman †,st †Handscomb b Beer,18,15,,1,2,120,Adelaide Strikers,Melbourne Stars,897697,BBL05,2,138
2148,3,DPMD Jayawardene,c †Handscomb b Faulkner,5,8,,0,0,62.5,Adelaide Strikers,Melbourne Stars,897697,BBL05,2,138
2149,4,TM Head,c †Handscomb b Hastings,16,16,,2,0,100,Adelaide Strikers,Melbourne Stars,897697,BBL05,2,138
2150,5,BJ Hodge (c),not out,56,41,,4,1,136.58,Adelaide Strikers,Melbourne Stars,897697,BBL05,2,138
2151,6,AI Ross,lbw b Boland,65,31,,7,3,209.67,Adelaide Strikers,Melbourne Stars,897697,BBL05,2,138
2152,7,MG Neser,not out,7,3,,1,0,233.33,Adelaide Strikers,Melbourne Stars,897697,BBL05,2,138
2153,1,MP Stoinis,c Richardson b Laughlin,50,42,,6,0,119.04,Melbourne Stars,Adelaide Strikers,897697,BBL05,2,138
2154,2,LJ Wright,hit wicket b Rashid,13,12,,1,0,108.33,Melbourne Stars,Adelaide Strikers,897697,BBL05,2,138
2155,3,KP Pietersen,c Head b Laughlin,22,17,,3,0,129.41,Melbourne Stars,Adelaide Strikers,897697,BBL05,2,138
2156,4,GJ Maxwell,c Richardson b Rashid,21,12,,2,1,175,Melbourne Stars,Adelaide Strikers,897697,BBL05,2,138
2157,5,DJ Hussey (c),c Jayawardene b Richardson,25,13,,3,1,192.3,Melbourne Stars,Adelaide Strikers,897697,BBL05,2,138
2158,6,JP Faulkner,not out,10,10,,1,0,100,Melbourne Stars,Adelaide Strikers,897697,BBL05,2,138
2159,7,PSP Handscomb †,c Laughlin b Richardson,2,5,,0,0,40,Melbourne Stars,Adelaide Strikers,897697,BBL05,2,138
2160,8,A Zampa, b Richardson,0,1,,0,0,0,Melbourne Stars,Adelaide Strikers,897697,BBL05,2,138
2161,9,JW Hastings,not out,15,8,,1,1,187.5,Melbourne Stars,Adelaide Strikers,897697,BBL05,2,138
2162,1,JJ Peirson †, b Tremain,10,11,,2,0,90.9,Brisbane Heat,Melbourne Renegades,897699,BBL05,3,139
2163,2,LMP Simmons, b Doherty,29,25,,2,2,116,Brisbane Heat,Melbourne Renegades,897699,BBL05,3,139
2164,3,JA Burns,c Cooper b Doherty,16,16,,1,0,100,Brisbane Heat,Melbourne Renegades,897699,BBL05,3,139
2165,4,CA Lynn (c),c Cooper b Bravo,35,20,,2,2,175,Brisbane Heat,Melbourne Renegades,897699,BBL05,3,139
2166,5,NJ Reardon,c Beaton b Rimmington,28,22,,1,1,127.27,Brisbane Heat,Melbourne Renegades,897699,BBL05,3,139
2167,6,BCJ Cutting,not out,30,14,,4,1,214.28,Brisbane Heat,Melbourne Renegades,897699,BBL05,3,139
2168,7,JR Hopes,not out,24,12,,3,0,200,Brisbane Heat,Melbourne Renegades,897699,BBL05,3,139
2169,1,AJ Finch (c),c Lalor b Fekete,65,45,,6,3,144.44,Melbourne Renegades,Brisbane Heat,897699,BBL05,3,139
2170,2,CH Gayle,c Simmons b Steketee,23,16,,2,2,143.75,Melbourne Renegades,Brisbane Heat,897699,BBL05,3,139
2171,3,CL White,c Cutting b Fekete,55,41,,4,1,134.14,Melbourne Renegades,Brisbane Heat,897699,BBL05,3,139
2172,4,MS Wade †,not out,11,6,,2,0,183.33,Melbourne Renegades,Brisbane Heat,897699,BBL05,3,139
2173,5,DJ Bravo,not out,22,9,,1,2,244.44,Melbourne Renegades,Brisbane Heat,897699,BBL05,3,139
2174,1,MJ Lumb,c Mennie b Tait,4,3,,1,0,133.33,Sydney Sixers,Hobart Hurricanes,897701,BBL05,4,140
2175,2,BJ Haddin †,c Christian b Boyce,72,45,,8,2,160,Sydney Sixers,Hobart Hurricanes,897701,BBL05,4,140
2176,3,NJ Maddinson,c Sangakkara b Boyce,21,11,,3,1,190.9,Sydney Sixers,Hobart Hurricanes,897701,BBL05,4,140
2177,4,MC Henriques (c),run out (Bailey/Sammy),11,14,,1,0,78.57,Sydney Sixers,Hobart Hurricanes,897701,BBL05,4,140
2178,5,JC Silk,run out (†Paine),41,25,,0,2,164,Sydney Sixers,Hobart Hurricanes,897701,BBL05,4,140
2179,6,J Botha,c Wells b Mennie,13,13,,0,0,100,Sydney Sixers,Hobart Hurricanes,897701,BBL05,4,140
2180,7,SA Abbott, b Tait,6,4,,0,0,150,Sydney Sixers,Hobart Hurricanes,897701,BBL05,4,140
2181,8,SNJ O'Keefe,not out,6,4,,0,0,150,Sydney Sixers,Hobart Hurricanes,897701,BBL05,4,140
2182,9,NM Lyon,not out,0,1,,0,0,0,Sydney Sixers,Hobart Hurricanes,897701,BBL05,4,140
2183,1,TD Paine (c) †,c Henriques b Lyon,0,4,,0,0,0,Hobart Hurricanes,Sydney Sixers,897701,BBL05,4,140
2184,2,BR Dunk, b Bollinger,1,4,,0,0,25,Hobart Hurricanes,Sydney Sixers,897701,BBL05,4,140
2185,3,KC Sangakkara,c Bollinger b Lyon,0,1,,0,0,0,Hobart Hurricanes,Sydney Sixers,897701,BBL05,4,140
2186,4,GJ Bailey,not out,62,45,,8,1,137.77,Hobart Hurricanes,Sydney Sixers,897701,BBL05,4,140
2187,5,DT Christian,run out (Maddinson/†Haddin),4,6,,0,0,66.66,Hobart Hurricanes,Sydney Sixers,897701,BBL05,4,140
2188,6,JW Wells,c Henriques b O'Keefe,1,2,,0,0,50,Hobart Hurricanes,Sydney Sixers,897701,BBL05,4,140
2189,7,DJG Sammy,c Maddinson b Abbott,2,6,,0,0,33.33,Hobart Hurricanes,Sydney Sixers,897701,BBL05,4,140
2190,8,JM Mennie,c Bird b Lyon,4,9,,0,0,44.44,Hobart Hurricanes,Sydney Sixers,897701,BBL05,4,140
2191,9,SL Rainbird,c Bird b Lyon,1,3,,0,0,33.33,Hobart Hurricanes,Sydney Sixers,897701,BBL05,4,140
2192,10,CJ Boyce,c Henriques b O'Keefe,4,10,,0,0,40,Hobart Hurricanes,Sydney Sixers,897701,BBL05,4,140
2193,11,SW Tait,c Abbott b Lyon,5,5,,0,0,100,Hobart Hurricanes,Sydney Sixers,897701,BBL05,4,140
2194,1,UT Khawaja,not out,109,70,84,12,3,155.71,Sydney Thunder,Melbourne Stars,897703,BBL05,5,141
2195,2,JH Kallis,c †Handscomb b Hastings,9,8,18,1,0,112.5,Sydney Thunder,Melbourne Stars,897703,BBL05,5,141
2196,3,AC Blizzard,c Wright b Zampa,3,9,12,0,0,33.33,Sydney Thunder,Melbourne Stars,897703,BBL05,5,141
2197,4,SR Watson,lbw b Maxwell,1,2,3,0,0,50,Sydney Thunder,Melbourne Stars,897703,BBL05,5,141
2198,5,MEK Hussey (c),lbw b Maxwell,16,11,13,2,0,145.45,Sydney Thunder,Melbourne Stars,897703,BBL05,5,141
2199,6,AD Russell,c Faulkner b Hastings,22,16,20,4,0,137.5,Sydney Thunder,Melbourne Stars,897703,BBL05,5,141
2200,7,BJ Rohrer,c Maxwell b Boland,1,2,5,0,0,50,Sydney Thunder,Melbourne Stars,897703,BBL05,5,141
2201,8,CJ McKay,not out,9,3,7,0,1,300,Sydney Thunder,Melbourne Stars,897703,BBL05,5,141
2202,1,MP Stoinis,lbw b Russell,27,19,25,4,0,142.1,Melbourne Stars,Sydney Thunder,897703,BBL05,5,141
2203,2,LJ Wright,c Hussey b Russell,18,15,23,4,0,120,Melbourne Stars,Sydney Thunder,897703,BBL05,5,141
2204,3,KP Pietersen,c Fawad Ahmed b McKay,76,42,62,5,6,180.95,Melbourne Stars,Sydney Thunder,897703,BBL05,5,141
2205,4,GJ Maxwell,c Sandhu b Kallis,2,8,15,0,0,25,Melbourne Stars,Sydney Thunder,897703,BBL05,5,141
2206,5,DJ Hussey (c), b Watson,0,3,7,0,0,0,Melbourne Stars,Sydney Thunder,897703,BBL05,5,141
2207,6,JP Faulkner,not out,45,36,46,2,0,125,Melbourne Stars,Sydney Thunder,897703,BBL05,5,141
2208,7,PSP Handscomb †,not out,0,0,9,0,0,-,Melbourne Stars,Sydney Thunder,897703,BBL05,5,141
2209,1,M Klinger,c Neser b Head,19,18,,3,0,105.55,Perth Scorchers,Adelaide Strikers,897705,BBL05,6,142
2210,2,SE Marsh,c Holland b Neser,47,35,,4,2,134.28,Perth Scorchers,Adelaide Strikers,897705,BBL05,6,142
2211,3,AC Voges (c),not out,45,32,,4,1,140.62,Perth Scorchers,Adelaide Strikers,897705,BBL05,6,142
2212,4,MA Carberry, b Rashid,5,12,,0,0,41.66,Perth Scorchers,Adelaide Strikers,897705,BBL05,6,142
2213,5,MR Marsh, b Rashid,1,2,,0,0,50,Perth Scorchers,Adelaide Strikers,897705,BBL05,6,142
2214,6,DJ Willey,c Head b Laughlin,2,5,,0,0,40,Perth Scorchers,Adelaide Strikers,897705,BBL05,6,142
2215,7,CT Bancroft †, b Laughlin,8,8,,0,0,100,Perth Scorchers,Adelaide Strikers,897705,BBL05,6,142
2216,8,NM Coulter-Nile,not out,18,8,,0,2,225,Perth Scorchers,Adelaide Strikers,897705,BBL05,6,142
2217,1,TP Ludeman †,c †Bancroft b Willey,17,10,,4,0,170,Adelaide Strikers,Perth Scorchers,897705,BBL05,6,142
2218,2,CJ Simmons,c MR Marsh b Coulter-Nile,1,5,,0,0,20,Adelaide Strikers,Perth Scorchers,897705,BBL05,6,142
2219,3,DPMD Jayawardene,c SE Marsh b Willey,42,40,,4,0,105,Adelaide Strikers,Perth Scorchers,897705,BBL05,6,142
2220,4,TM Head,c Carberry b Tye,22,16,,3,1,137.5,Adelaide Strikers,Perth Scorchers,897705,BBL05,6,142
2221,5,BJ Hodge (c),c sub (AC Agar) b Paris,14,12,,1,0,116.66,Adelaide Strikers,Perth Scorchers,897705,BBL05,6,142
2222,6,AI Ross,c Willey b Paris,38,29,,4,2,131.03,Adelaide Strikers,Perth Scorchers,897705,BBL05,6,142
2223,7,MG Neser,not out,1,2,,0,0,50,Adelaide Strikers,Perth Scorchers,897705,BBL05,6,142
2224,8,AU Rashid,not out,2,2,,0,0,100,Adelaide Strikers,Perth Scorchers,897705,BBL05,6,142
2225,1,BR Dunk,run out (Forrest),5,7,12,0,0,71.42,Hobart Hurricanes,Brisbane Heat,897707,BBL05,7,143
2226,2,TD Paine (c) †,not out,87,58,84,6,4,150,Hobart Hurricanes,Brisbane Heat,897707,BBL05,7,143
2227,3,KC Sangakkara,c Simmons b Cutting,43,31,35,5,0,138.7,Hobart Hurricanes,Brisbane Heat,897707,BBL05,7,143
2228,4,GJ Bailey,c Simmons b Fekete,40,21,26,5,1,190.47,Hobart Hurricanes,Brisbane Heat,897707,BBL05,7,143
2229,5,DT Christian,not out,5,4,8,0,0,125,Hobart Hurricanes,Brisbane Heat,897707,BBL05,7,143
2230,1,JJ Peirson †,c Christian b Rainbird,29,19,16,4,1,152.63,Brisbane Heat,Hobart Hurricanes,897707,BBL05,7,143
2231,2,LMP Simmons,c †Paine b Christian,16,17,27,1,1,94.11,Brisbane Heat,Hobart Hurricanes,897707,BBL05,7,143
2232,3,JS Floros,c Rainbird b Boyce,42,23,39,3,3,182.6,Brisbane Heat,Hobart Hurricanes,897707,BBL05,7,143
2233,4,PJ Forrest,c †Paine b Christian,2,5,7,0,0,40,Brisbane Heat,Hobart Hurricanes,897707,BBL05,7,143
2234,5,CA Lynn (c),c Christian b Rainbird,1,3,2,0,0,33.33,Brisbane Heat,Hobart Hurricanes,897707,BBL05,7,143
2235,6,NJ Reardon,c Dunk b Tait,41,32,38,4,1,128.12,Brisbane Heat,Hobart Hurricanes,897707,BBL05,7,143
2236,7,BCJ Cutting,c Christian b Rainbird,10,10,17,0,0,100,Brisbane Heat,Hobart Hurricanes,897707,BBL05,7,143
2237,8,JR Hopes,c Christian b Rose,13,10,7,1,0,130,Brisbane Heat,Hobart Hurricanes,897707,BBL05,7,143
2238,9,JK Lalor,not out,1,1,4,0,0,100,Brisbane Heat,Hobart Hurricanes,897707,BBL05,7,143
2239,1,AJ Finch (c),c Botha b Bollinger,13,11,13,3,0,118.18,Melbourne Renegades,Sydney Sixers,897709,BBL05,8,144
2240,2,CH Gayle,c Abbott b Botha,46,33,49,3,3,139.39,Melbourne Renegades,Sydney Sixers,897709,BBL05,8,144
2241,3,CL White,c Lumb b Henriques,15,17,26,2,0,88.23,Melbourne Renegades,Sydney Sixers,897709,BBL05,8,144
2242,4,DJ Bravo,not out,45,29,45,3,2,155.17,Melbourne Renegades,Sydney Sixers,897709,BBL05,8,144
2243,5,MS Wade †, b Abbott,4,8,10,0,0,50,Melbourne Renegades,Sydney Sixers,897709,BBL05,8,144
2244,6,TM Beaton,not out,41,23,27,2,2,178.26,Melbourne Renegades,Sydney Sixers,897709,BBL05,8,144
2245,1,MJ Lumb,c †Wade b Rimmington,63,35,58,4,5,180,Sydney Sixers,Melbourne Renegades,897709,BBL05,8,144
2246,2,BJ Haddin †,c †Wade b Tremain,0,1,1,0,0,0,Sydney Sixers,Melbourne Renegades,897709,BBL05,8,144
2247,3,NJ Maddinson,c Cooper b Rimmington,17,17,15,1,1,100,Sydney Sixers,Melbourne Renegades,897709,BBL05,8,144
2248,4,MC Henriques (c),c Cooper b Tremain,62,38,54,4,2,163.15,Sydney Sixers,Melbourne Renegades,897709,BBL05,8,144
2249,5,JC Silk,lbw b Rimmington,14,9,22,0,1,155.55,Sydney Sixers,Melbourne Renegades,897709,BBL05,8,144
2250,6,J Botha,run out (Finch),1,3,3,0,0,33.33,Sydney Sixers,Melbourne Renegades,897709,BBL05,8,144
2251,7,SNJ O'Keefe,c Finch b Rimmington,2,3,7,0,0,66.66,Sydney Sixers,Melbourne Renegades,897709,BBL05,8,144
2252,8,SA Abbott,not out,3,3,8,0,0,100,Sydney Sixers,Melbourne Renegades,897709,BBL05,8,144
2253,9,TL Lawford,not out,6,4,5,1,0,150,Sydney Sixers,Melbourne Renegades,897709,BBL05,8,144
2254,1,JJ Peirson †,c Klinger b Willey,10,12,,1,0,83.33,Brisbane Heat,Perth Scorchers,897711,BBL05,9,145
2255,2,LMP Simmons,c †Bancroft b Behrendorff,0,1,,0,0,0,Brisbane Heat,Perth Scorchers,897711,BBL05,9,145
2256,3,CA Lynn (c),not out,75,58,,3,4,129.31,Brisbane Heat,Perth Scorchers,897711,BBL05,9,145
2257,4,PJ Forrest,c Agar b Tye,6,17,,0,0,35.29,Brisbane Heat,Perth Scorchers,897711,BBL05,9,145
2258,5,NJ Reardon,c Behrendorff b Hogg,2,7,,0,0,28.57,Brisbane Heat,Perth Scorchers,897711,BBL05,9,145
2259,6,JS Floros,c Tye b Behrendorff,5,8,,0,0,62.5,Brisbane Heat,Perth Scorchers,897711,BBL05,9,145
2260,7,BCJ Cutting, b Tye,8,13,,1,0,61.53,Brisbane Heat,Perth Scorchers,897711,BBL05,9,145
2261,8,JK Lalor,c Paris b Tye,3,4,,0,0,75,Brisbane Heat,Perth Scorchers,897711,BBL05,9,145
2262,1,MS Harris,c Lynn b Fekete,36,22,,4,2,163.63,Perth Scorchers,Brisbane Heat,897711,BBL05,9,145
2263,2,M Klinger (c),not out,53,42,,4,1,126.19,Perth Scorchers,Brisbane Heat,897711,BBL05,9,145
2264,3,AC Agar,not out,24,27,,3,0,88.88,Perth Scorchers,Brisbane Heat,897711,BBL05,9,145
2265,1,MJ Lumb,lbw b Beer,15,12,,1,1,125,Sydney Sixers,Melbourne Stars,897713,BBL05,10,146
2266,2,BJ Haddin †,c Beer b Maxwell,2,4,,0,0,50,Sydney Sixers,Melbourne Stars,897713,BBL05,10,146
2267,3,NJ Maddinson, b Zampa,25,21,,0,2,119.04,Sydney Sixers,Melbourne Stars,897713,BBL05,10,146
2268,4,MC Henriques (c),retired hurt,41,34,,4,0,120.58,Sydney Sixers,Melbourne Stars,897713,BBL05,10,146
2269,5,JC Silk,lbw b Hilfenhaus,35,28,,1,1,125,Sydney Sixers,Melbourne Stars,897713,BBL05,10,146
2270,6,J Botha,c Wright b Hilfenhaus,5,12,,0,0,41.66,Sydney Sixers,Melbourne Stars,897713,BBL05,10,146
2271,7,SA Abbott,c Wright b Boland,7,7,,0,0,100,Sydney Sixers,Melbourne Stars,897713,BBL05,10,146
